scan_name,category,hu_mean_Water_O,hu_mean_SW_ref_1,hu_mean_SW_ref_2,hu_mean_Ca_50,hu_mean_Ca_100,hu_mean_Ca_200,hu_mean_Ca_300,hu_mean_Ca_400,hu_mean_Water_I,hu_mean_I_2.0,hu_mean_I_2.5,hu_mean_I_5.0,hu_mean_I_7.5,hu_mean_I_10.0,hu_mean_I_15.0,hu_mean_I_20.0,hu_std_Water_O,hu_std_SW_ref_1,hu_std_SW_ref_2,hu_std_Ca_50,hu_std_Ca_100,hu_std_Ca_200,hu_std_Ca_300,hu_std_Ca_400,hu_std_Water_I,hu_std_I_2.0,hu_std_I_2.5,hu_std_I_5.0,hu_std_I_7.5,hu_std_I_10.0,hu_std_I_15.0,hu_std_I_20.0,cnr_Water_O,cnr_SW_ref_1,cnr_SW_ref_2,cnr_Ca_50,cnr_Ca_100,cnr_Ca_200,cnr_Ca_300,cnr_Ca_400,cnr_Water_I,cnr_I_2.0,cnr_I_2.5,cnr_I_5.0,cnr_I_7.5,cnr_I_10.0,cnr_I_15.0,cnr_I_20.0,nps_peak_freq_lp_cm,nps_area_HU2cm2,mtf_f50_lp_cm,mtf_f10_lp_cm
DE_40keV,clinical_DE_VMI,8.0,26.0,26.4,362.78,682.65,1369.38,2030.95,2699.62,16.49,183.69,226.94,439.81,642.86,858.14,1248.17,1717.12,68.57,64.79,68.76,72.73,68.99,75.26,76.99,71.09,84.07,82.5,82.33,80.85,100.9,83.12,84.7,87.99,0.0,0.26,0.27,5.17,9.84,19.85,29.5,39.25,0.12,2.56,3.19,6.3,9.26,12.4,18.09,24.92,1.829,64.151,2.946,5.132
DE_70keV,clinical_DE_VMI,-8.28,3.6,1.43,198.7,341.03,628.65,908.57,1188.62,-3.15,55.99,66.29,134.1,192.2,267.0,390.1,531.42,33.05,33.03,29.47,31.95,34.49,35.57,33.66,34.6,37.1,38.38,36.44,38.19,39.31,38.92,39.68,38.89,0.0,0.36,0.29,6.26,10.57,19.27,27.74,36.21,0.16,1.94,2.26,4.31,6.07,8.33,12.05,16.33,1.829,12.759,3.031,5.171
DE_100keV,clinical_DE_VMI,-8.74,-4.18,-4.67,157.69,251.45,440.81,622.51,808.55,-8.77,22.13,27.76,54.3,78.22,110.11,161.95,219.92,26.06,24.59,22.89,21.55,22.42,23.29,22.29,24.75,26.04,27.79,27.17,26.96,25.84,27.4,25.21,26.59,0.0,0.17,0.16,6.39,9.98,17.25,24.22,31.36,-0.0,1.18,1.4,2.42,3.34,4.56,6.55,8.77,1.829,6.781,3.078,5.25
DE_140keV,clinical_DE_VMI,-11.64,-10.09,-9.11,142.03,213.21,361.6,503.69,649.76,-8.56,8.6,10.45,22.87,34.1,49.81,66.6,94.42,17.91,18.05,19.68,18.29,18.07,17.55,20.13,18.72,22.92,21.33,22.44,22.22,21.15,21.36,21.21,19.96,0.0,0.09,0.14,8.58,12.55,20.84,28.77,36.93,0.17,1.13,1.23,1.93,2.55,3.43,4.37,5.92,2.286,4.437,3.096,5.275
sim_120kVp_50mA_FBP,sim_FBP,19.29,17.72,23.87,162.14,270.42,576.09,841.83,1068.66,40.53,89.54,93.77,147.98,189.7,233.47,333.19,469.93,77.19,92.96,82.78,83.09,86.45,110.44,104.07,110.82,83.87,88.34,86.0,87.52,102.04,99.34,101.51,117.56,0.0,-0.02,0.06,1.85,3.25,7.21,10.66,13.59,0.28,0.91,0.96,1.67,2.21,2.77,4.07,5.84,2.286,65.589,3.69,6.249
sim_120kVp_150mA_FBP,sim_FBP,15.0,15.43,14.33,145.97,249.33,565.0,818.16,1048.84,32.6,73.06,84.35,125.86,169.15,206.75,307.8,453.28,53.04,53.05,51.92,49.48,54.2,77.92,64.61,66.13,55.07,52.08,50.28,52.42,53.78,57.56,65.14,75.54,0.0,0.01,-0.01,2.47,4.42,10.37,15.14,19.49,0.33,1.09,1.31,2.09,2.91,3.62,5.52,8.26,2.286,22.597,3.592,6.304
sim_120kVp_300mA_FBP,sim_FBP,12.12,10.36,8.72,140.64,240.78,564.36,814.38,1039.8,26.05,67.58,76.78,113.92,158.57,202.74,291.82,447.06,45.23,43.02,42.51,41.74,41.62,55.13,49.98,54.35,44.4,41.68,41.75,43.08,42.69,47.25,50.52,67.27,0.0,-0.04,-0.08,2.84,5.06,12.21,17.74,22.72,0.31,1.23,1.43,2.25,3.24,4.21,6.18,9.62,2.286,13.107,3.629,6.328
sim_80kVp_480mA_FBP,sim_FBP,14.74,15.75,18.12,175.25,327.9,817.82,1148.0,1484.85,46.39,113.78,122.18,198.13,284.6,384.2,653.68,872.94,68.18,64.04,65.08,65.58,85.02,86.86,106.69,102.34,75.68,62.35,70.81,67.69,80.3,108.67,115.74,84.43,0.0,0.01,0.05,2.35,4.59,11.78,16.62,21.56,0.46,1.45,1.58,2.69,3.96,5.42,9.37,12.59,2.286,38.953,3.581,6.235
sim_100kVp_250mA_FBP,sim_FBP,16.37,15.5,16.58,159.73,283.0,668.24,954.7,1220.95,38.59,87.61,97.4,144.67,204.87,262.81,426.07,635.38,61.35,58.52,52.66,55.22,66.81,76.93,72.97,76.56,58.01,59.81,56.17,61.8,62.06,70.84,94.06,81.47,0.0,-0.01,0.0,2.34,4.35,10.63,15.3,19.64,0.36,1.16,1.32,2.09,3.07,4.02,6.68,10.09,2.743,26.152,3.584,6.283
sim_140kVp_110mA_FBP,sim_FBP,12.93,12.85,9.28,136.62,230.63,482.8,725.89,930.03,30.84,64.24,76.14,109.65,146.69,179.88,255.22,342.81,50.81,46.83,47.06,49.89,48.17,68.73,57.69,62.64,54.61,49.29,45.11,48.95,52.35,58.88,53.37,61.7,0.0,-0.0,-0.07,2.43,4.28,9.25,14.03,18.05,0.35,1.01,1.24,1.9,2.63,3.29,4.77,6.49,2.743,18.062,3.644,6.343
